"id","natemis_number","name","natemis_quintile","natemis_province_id"
100000029,100000029,"GAIA WALDORF SCHOOL","Q5","base.state_za_wc"
100000030,100000030,"DARUN NA'IM ACADEMY","N/A","base.state_za_wc"
100000031,100000031,"ATLANTIC BEACH COLLEGE","Q2","base.state_za_wc"
100000036,100000036,"TRINITY PRIMARY SCHOOL","Q2","base.state_za_wc"
100000037,100000037,"EAGLE'S NEST MINISTRIES, SA","Q5","base.state_za_wc"
100000038,100000038,"SILVERMINE ACADEMY","Q2","base.state_za_wc"
100000054,100000054,"ACADEMY PRIVATE SCHOOL","N/A","base.state_za_wc"
100000055,100000055,"CLAREMONT HIGH SCHOOL","Q5","base.state_za_wc"
100000056,100000056,"WESTLAKE PRIMARY SCHOOL","Q4","base.state_za_wc"
100000065,100000065,"REDDAM HOUSE ATLANTIC SEABOARD","Q5","base.state_za_wc"
100000070,100000070,"IES INTERNATIONAL HELDEBERG SCHOOL (PTY","Q5","base.state_za_wc"
100000078,100000078,"DISA PRIMARY SCHOOL (HOUT BAY)","Q3","base.state_za_wc"
100000091,100000091,"CEDERBERG ACADEMY","Q4","base.state_za_wc"
100000103,100000103,"LYCEE FRANCAIS DU CAP FRANCOIS LE VAILL","Q5","base.state_za_wc"
100000108,100000108,"NORTHPINE TECHNICAL HIGH SCHOOL","Q5","base.state_za_wc"
100000109,100000109,"DELFT TECHNICAL HIGH SCHOOL","Q4","base.state_za_wc"
100000110,100000110,"MELKBOS HIGH SCHOOL","Q5","base.state_za_wc"
100000122,100000122,"FISANTEKRAAL HIGH SCHOOL","Q1","base.state_za_wc"
100000123,100000123,"BEAUFORT WEST PRIMﾊRE SKOOL","Q3","base.state_za_wc"
100000124,100000124,"LOUWVILLE HOﾋRSKOOL","Q4","base.state_za_wc"
100000126,100000126,"GATEWAY PRIMARY SCHOOL","Q4","base.state_za_wc"
100000127,100000127,"ROUXVILLE PRIMARY SCHOOL","Q4","base.state_za_wc"
100000128,100000128,"HOPE AND LIGHT COMMUNITY WELFARE (NPC)","Q4","base.state_za_wc"
100000129,100000129,"SILIKAMVA HIGH SCHOOL","Q3","base.state_za_wc"
100000143,100000143,"PRINGLE HOUSE","Q5","base.state_za_wc"
100000151,100000151,"AL-AZHAR HIGH SCHOOL","N/A","base.state_za_wc"
